人群:ID,:LABEL,name
50475,人群,老少兼宜
50480,人群,肾阳衰之腰膝冷痛者
50482,人群,全部人群
50483,人群,气血亏损体弱怕冷
50490,人群,老年人
50491,人群,儿童
50537,人群,糖尿病患者
50539,人群,中老年人
50549,人群,用于老视眼属于肝肾亏损者
50559,人群,胃功能良好的人。
50572,人群,成人
50617,人群,一般人群
50618,人群,办公室员工
50690,人群,妇人脏躁
50693,人群,年轻人
50695,人群,2-3岁
50697,人群,中老年
50708,人群,肾阳衰虚之人
50709,人群,产后
50710,人群,病后
50711,人群,年老体弱属气血虚者
50712,人群,体质虚弱者
50720,人群,准备怀孕的男女
50758,人群,老人
50759,人群,孩子
50765,人群,易消化适宜所有人群
50773,人群,青少年
50789,人群,均可
50792,人群,长期在荧光屏前工作的人
50795,人群,全部
50798,人群,广大群众
50807,人群,所有人群
50821,人群,肠胃弱者
50834,人群,老人儿童
50837,人群,老幼
50838,人群,妇女
50839,人群,脾胃虚弱者尤为合适
50841,人群,工作忙碌
50842,人群,劳动量比较大的年轻人
50861,人群,儿童软骨缺钙症
50862,人群,儿童缺铁性贫血者可多食山楂。
50868,人群,喝茶人群
50873,人群,任何人群
50879,人群,男女老少
50880,人群,甚至外國人
50898,人群,注意力不集中者
50899,人群,中年人
50900,人群,小孩子
50903,人群,全体
50919,人群,中青年
50920,人群,少年
50929,人群,一般人群均可食用
50947,人群,一般人均可使用
50948,人群,少男少女
50949,人群,学生党
50950,人群,上班族
50955,人群,老幼最宜
50970,人群,孕妇
50974,人群,月经不调等营血虚滞症
50994,人群,一般人群，办公室员工
51006,人群,大人、小孩
51324,人群,更适合消化功能较弱的人
51325,人群,小孩
51407,人群,年老体弱
51858,人群,工作繁忙人士
51859,人群,野外驴友
51881,人群,体质虚弱人群
51887,人群,3岁以上儿童
51911,人群,消毒防腐药
52086,人群,一般人
52087,人群,老人及小孩
52345,人群,大人
52727,人群,产妇
52812,人群,婴儿
60858,人群,幼儿
60877,人群,哺乳期
